'model','brand','line','plant','quote_reference','remarks','meta_series_series'
GDP10F_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H10XDS6,Hyster,#2,Nijmegen,'2023-972119','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP10D_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H12XD12,Hyster,#7,Nijmegen,'2023-972119','Yale serial unable to create quote in NOVO System, PB still active','007'
G12DPE_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H12XD6,Hyster,#4,Nijmegen,'2023-972119','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP12F_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H13XD6,Hyster,#5,Nijmegen,'2023-972119','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP13E_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H13XDS6,Hyster,#3,Nijmegen,'2023-972119','Yale serial unable to create quote in NOVO System, PB still active','007'
G130DP_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H14XD12,Hyster,#8,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
G14DPE_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H14XD6,Hyster,#6,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP14E_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H14XDS6,Hyster,#4,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
G140DP_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H16XD12,Hyster,#9,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
YGDP16_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H16XD6,Hyster,#7,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP16E_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H16XD9,Hyster,#9,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
G16DPE_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H16XDS12,Hyster,#10,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
G16EF9_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H16XDS9,Hyster,#5,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP3F9_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
