'id','class_','costrmb','dealer','dealer_net','description','list_price','margin_aop','model_code','month_year','option_code','plant','price_list_region','std_opt','currency_currency'
7854,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Manual lever hydraulic controls,0.0,0.0,GP25UX,2023-08-01,MECYCC,Maximal,Yale AP,Std,USD
7855,Class 5 NOT BT,137.785809460891,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',22.2,'3 Function (1 Auxiliary) Hydraulic Valve',30.0,0.2571275930199981,GP25UX,2023-08-01,HCV3CB,Maximal,Yale AP,Opt,USD
7856,Class 5 NOT BT,981.826951047517,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',207.2,'3 Function Hose Group (1 Auxiliary)',280.0,50.84062165135424,GP25UX,2023-08-01,'1A3SFF',Maximal,Yale AP,Opt,USD
7857,Class 5 NOT BT,1291.24707082824,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',266.4,'7.00 X 12 Super Elastic Drive Tyres (Std Tread)',360.0,60.76438460585487,GP25UX,2023-08-01,DTPS12,Maximal,Yale AP,Opt,USD
7858,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,'6.00 X 9 Super Elastic Steer Tyres',0.0,0.0,GP25UX,2023-08-01,STPS69,Maximal,Yale AP,Opt,USD
7859,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,'2180mm High Overhead Guard',0.0,0.0,GP25UX,2023-08-01,'2180LO',Maximal,Yale AP,Opt,USD
7860,Class 5 NOT BT,36.6500350344828,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',7.4,Rain Cover For Overhead Guard,10.0,1.5633536456359938,GP25UX,2023-08-01,RACOHG,Maximal,Yale AP,Opt,USD
7861,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Dual Mirrors Side View,0.0,0.0,GP25UX,2023-08-01,MIRDRV,Maximal,Yale AP,Std,USD
7862,Class 5 NOT BT,49.9356727344828,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',7.4,Rear Drive Handle with Horn Button,10.0,-0.5524306578209552,GP25UX,2023-08-01,HNDLRD,Maximal,Yale AP,Opt,USD
7863,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Directional Lever,0.0,0.0,GP25UX,2023-08-01,DICOLV,Maximal,Yale AP,Std,USD
7864,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Steering Wheel W Spinner Knob,0.0,0.0,GP25UX,2023-08-01,SWWISK,Maximal,Yale AP,Std,USD
7865,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Std Seat Belt,0.0,0.0,GP25UX,2023-08-01,SBSTND,Maximal,Yale AP,Std,USD
