'order_no','aopmargin_percentage','booking_margin_percentage_after_sur_charge','ctry_code','date','dealer_name','dealer_net','dealer_net_after_sur_charge','margin_after_sur_charge','margin_percentage_after_sur_charge','model','netrevenue','quantity','serial_number','series','total_cost','currency','product_dimension','region'
F68714,0.0,0.0,VN,2023-05-29,MICO Machinery and,0.0,0.0,-978.9,-Infinity,P1.5UT,1765.7099999999998,1,A3D1H01937W,,978.9,,,
F52349,0.0,0.0,VN,2023-05-29,MICO Machinery and,0.0,0.0,-3346.2,-Infinity,P2.0UTS,5083.71,1,A3B1H02257W,,3346.2,,,
F73241,0.0,0.0,AU,2023-05-31,Coles Supermarkets,0.0,0.0,-1830.5099999999998,-Infinity,P2.0UTE,2734.7,1,A3B5H02336X,,1830.5099999999998,,,
F52347,0.0,0.0,VN,2023-05-29,MICO Machinery and,0.0,0.0,-3346.58,-Infinity,P2.0UTS,5083.71,1,A3B1H02255W,,3346.58,,,
F28204,0.0,0.0,AU,2023-05-28,ADAPT-A-LIFT GROUP,0.0,0.0,-17222.52,-Infinity,H2.5XT,19860.79,1,D466R15379W,,17222.52,,,
H09358,0.2426316555612543,0.389,VN,2023-05-29,MICO Machinery and,5096.2,5096.2,2000.35,0.3925179545543738,P2.0UTS,5052.2,1,A3B1H02313X,A3B1,3095.85,,244,1
H09359,0.2426316555612543,0.389,VN,2023-05-29,MICO Machinery and,5096.2,5096.2,2000.35,0.3925179545543738,P2.0UTS,5052.2,1,A3B1H02314X,A3B1,3095.85,,244,1
H09360,0.2426316555612543,0.389,VN,2023-05-29,MICO Machinery and,5096.2,5096.2,2000.35,0.3925179545543738,P2.0UTS,5052.2,1,A3B1H02315X,A3B1,3095.85,,244,1
H09361,0.2426316555612543,0.389,VN,2023-05-29,MICO Machinery and,5096.2,5096.2,2000.35,0.3925179545543738,P2.0UTS,5052.2,1,A3B1H02316X,A3B1,3095.85,,244,1
E92750,0.0,0.0,AU,2023-05-30,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,RS 45 31CH,346660.79,1,A921A01510X,,290546.24000000005,,,
