'id','date','rate','from_currency','to_currency'
3301,2023-09-01,2.640919991,SAR,NOK
3302,2023-09-01,0.1352644394,RUB,NOK
3303,2023-09-01,2.251627361,PLN,NOK
3304,2023-09-01,0.2860861784,THB,NOK
3305,2023-09-01,2.239629771,MYR,NOK
3306,2023-09-01,0.3220693521,TWD,NOK
3307,2023-09-01,0.4361126039,CZK,NOK
3308,2023-09-01,2.131614572,RON,NOK
3309,2023-09-01,0.007813772978,KRW,NOK
3310,2023-09-01,0.02709647689,LKR,NOK
3311,2023-09-01,0.0004190558477,VND,NOK
3312,2023-09-01,18.1967,EUR,ZAR
3313,2023-09-01,20.54986505,GBP,ZAR
3314,2023-09-01,17.08770777,USD,ZAR
3315,2023-09-01,0.1279295557,JPY,ZAR
3316,2023-09-01,2.446944127,DKK,ZAR
3317,2023-09-01,11.47405259,AUD,ZAR
3318,2023-09-01,12.57112263,CAD,ZAR
3319,2023-09-01,18.4925813,CHF,ZAR
3320,2023-09-01,1.630820936,SEK,ZAR
3321,2023-09-01,1.724805687,NOK,ZAR
3322,2023-09-01,1.0,ZAR,ZAR
3323,2023-09-01,3.287510614,BRL,ZAR
3324,2023-09-01,0.881153455,MXN,ZAR
3325,2023-09-01,2.19253199,HKD,ZAR
3326,2023-09-01,12.67179666,SGD,ZAR
3327,2023-09-01,2.454006015,CNY,ZAR
3328,2023-09-01,10.775567,NZD,ZAR
3329,2023-09-01,0.2062428099,INR,ZAR
3330,2023-09-01,4.65135361,AED,ZAR
3331,2023-09-01,45.43155319,BHD,ZAR
3332,2023-09-01,4.555073821,SAR,ZAR
3333,2023-09-01,0.2333048744,RUB,ZAR
3334,2023-09-01,3.883619678,PLN,ZAR
3335,2023-09-01,0.4934430675,THB,ZAR
3336,2023-09-01,3.862926167,MYR,ZAR
3337,2023-09-01,0.5555070501,TWD,ZAR
3338,2023-09-01,0.7522094994,CZK,ZAR
3339,2023-09-01,3.676620936,RON,ZAR
3340,2023-09-01,0.01347724007,KRW,ZAR
3341,2023-09-01,0.04673615744,LKR,ZAR
3342,2023-09-01,0.0007227899094,VND,ZAR
3343,2023-09-01,5.5351,EUR,BRL
3344,2023-09-01,6.250889338,GBP,BRL
3345,2023-09-01,5.197765048,USD,BRL
3346,2023-09-01,0.03891380765,JPY,BRL
3347,2023-09-01,0.744315202,DKK,BRL
3348,2023-09-01,3.490194842,AUD,BRL
3349,2023-09-01,3.823903282,CAD,BRL
3350,2023-09-01,5.625101626,CHF,BRL
3351,2023-09-01,0.4960656032,SEK,BRL
3352,2023-09-01,0.5246540284,NOK,BRL
3353,2023-09-01,0.3041815274,ZAR,BRL
3354,2023-09-01,1.0,BRL,BRL
3355,2023-09-01,0.2680306038,MXN,BRL
3356,2023-09-01,0.6669277297,HKD,BRL
3357,2023-09-01,3.854526462,SGD,BRL
3358,2023-09-01,0.7464632979,CNY,BRL
3359,2023-09-01,3.27772843,NZD,BRL
3360,2023-09-01,0.06273525295,INR,BRL
3361,2023-09-01,1.414855846,AED,BRL
3362,2023-09-01,13.81943924,BHD,BRL
3363,2023-09-01,1.385569312,SAR,BRL
3364,2023-09-01,0.07096703304,RUB,BRL
3365,2023-09-01,1.181325365,PLN,BRL
3366,2023-09-01,0.150096266,THB,BRL
3367,2023-09-01,1.175030782,MYR,BRL
3368,2023-09-01,0.168974983,TWD,BRL
3369,2023-09-01,0.2288082345,CZK,BRL
3370,2023-09-01,1.118360172,RON,BRL
3371,2023-09-01,0.00409952747,KRW,BRL
3372,2023-09-01,0.01421627576,LKR,BRL
3373,2023-09-01,0.0002198593386,VND,BRL
3374,2023-09-01,20.651,EUR,MXN
3375,2023-09-01,23.32155078,GBP,MXN
3376,2023-09-01,19.39243121,USD,MXN
3377,2023-09-01,0.1451841957,JPY,MXN
3378,2023-09-01,2.776978417,DKK,MXN
3379,2023-09-01,13.0216281,AUD,MXN
